% Specific	extinction	coeffs	taken from BORL Water measured by Matcher at 37Celcius in OD/M/cm
% specific absorption coefficient = specific extinction coefficient x ln(10)
% Specific Extinction is described using base 10 logarithm units and Specific Absorption is described using natural logarithm units.

wavelength,Water,HbO2,HHb,FatSoybean,diffCCO,ox_redCCO,oxCCO,redCCO
716,8.57401e-05,372.3,1490.32,1490.32,1997.49,932.64,3182.17,2249.53
717,8.91697e-05,376.4,1471.74,1471.74,1973.09,943.5513,3182.75,2239.1987
718,9.42238e-05,380.6,1453.15,1453.15,1948.72,957.8338,3184.2,2226.3662
719,9.9639e-05,385.3,1436.12,1436.12,1926.92,970.9925,3183.33,2212.3375
720,0.000101264,389.8,1419.32,1419.32,1905.03,984.9124,3184.5262,2199.6138
721,0.000106859,394.2,1402.55,1402.55,1887.4,999.4125,3188.6225,2189.21
722,0.000112274,398.7,1387.14,1387.14,1869.81,1013.8763,3197.5763,2183.7
723,0.000117509,403.4,1372.94,1372.94,1857.35,1028.7025,3202.5425,2173.84
724,0.000120217,408.2,1358.86,1358.86,1844.84,1045.0513,3206.82,2161.7687
725,0.000127617,413.2,1345.27,1345.27,1835.24,1065.1337,3210.0825,2144.9488
726,0.000133394,418,1334.85,1334.85,1825.64,1082.6425,3218.2025,2135.56
727,0.000141155,422.89,1324.55,1324.55,1817.52,1100.0787,3221.7912,2121.7125
728,0.000148014,427.99,1314.26,1314.26,1809.44,1114.8687,3226.2137,2111.345
729,0.000155415,433.09,1307.75,1307.75,1805.36,1131.1812,3233.2825,2102.1013
730,0.00016444,438.16,1302.58,1302.58,1801.24,1147.5662,3238.865,2091.2988
731,0.00017491,443.37,1297.28,1297.28,1800.54,1165.1113,3244.4113,2079.3
732,0.000185018,448.67,1294.28,1294.28,1799.93,1181.6413,3251.3713,2069.73
733,0.000196209,453.88,1294.68,1294.68,1799.46,1197.9538,3260.2163,2062.2625
734,0.000205235,459.18,1294.98,1294.98,1798.93,1214.1574,3267.2487,2053.0913
