% Specific	extinction	coeffs	taken from BORL Water measured by Matcher at 37Celcius in OD/M/cm
% specific absorption coefficient = specific extinction coefficient x ln(10)
% Specific Extinction is described using base 10 logarithm units and Specific Absorption is described using natural logarithm units.

wavelength,Water,HbO2,HHb,FatSoybean,diffCCO,ox_redCCO,oxCCO,redCCO
943,0.001812635,1348.35,764.92,764.92,1246.77,1183.0913,2709.5063,1526.415
944,0.001895848,1346.44,757.32,757.32,1235.7,1162.1387,2688.7712,1526.6325
945,0.00198574,1344.97,749.11,749.11,1225.49,1151.1187,2678.6937,1527.575
946,0.002077978,1344.14,740.82,740.82,1215.29,1134.4074,2669.9212,1535.5138
947,0.002177978,1342.45,732.52,732.52,1201.08,1113.3099,2650.5637,1537.2538
948,0.002288267,1340.67,723.93,723.93,1186.8,1098.3387,2631.2425,1532.9038
949,0.00240704,1339.06,715.24,715.24,1169.51,1077.1326,2610.5438,1533.4112
950,0.002529783,1337.06,706.64,706.64,1152.23,1071.405,2597.4213,1526.0163
951,0.002660469,1335.06,698.04,698.04,1134.72,1054.2225,2581.3263,1527.1038
952,0.00279639,1332.85,689.44,689.44,1117.22,1046.1387,2560.7725,1514.6338
953,0.002933394,1330.98,680.84,680.84,1100.63,1031.095,2549.5713,1518.4763
954,0.0030713,1328.94,671.33,671.33,1084.04,1025.4038,2531.4825,1506.0787
955,0.003203971,1325.94,661.43,661.43,1074.23,1013.84,2514.2275,1500.3875
956,0.003328159,1323.64,651.53,651.53,1064.54,1013.6588,2489.795,1476.1362
957,0.003441516,1321.38,641.84,641.84,1053.64,998.325,2476.6725,1478.3475
958,0.003545307,1319.56,632.25,632.25,1042.65,997.6,2460.07,1462.47
959,0.003636101,1316.87,622.73,622.73,1035.36,991.0387,2444.6275,1453.5888
960,0.003711552,1314.04,613.14,613.14,1027.93,988.2113,2428.8225,1440.6112
961,0.003775812,1311.96,603.54,603.54,1025.33,966.2801,2416.8963,1450.6162
962,0.003825632,1309.57,593.94,593.94,1022.63,964.7213,2400.0763,1435.355
963,0.003862274,1306.66,584.17,584.17,1021.94,955.985,2385.3588,1429.3738
964,0.003891877,1303.88,574.35,574.35,1021.24,944.7112,2379.45,1434.7388
965,0.003914621,1301.45,564.54,564.54,1008.43,939.9987,2379.45,1439.4513
966,0.003933213,1299.15,554.85,554.85,995.66,934.1626,2365.9288,1431.7662
967,0.003945307,1296.28,545.17,545.17,980.16,923.4325,2361.7962,1438.3637
968,0.003955415,1292.46,535.57,535.57,964.65,915.53,2348.855,1433.325
969,0.003961733,1289.68,525.93,525.93,948.15,907.5188,2346.6438,1439.125
970,0.003965523,1286.47,516.46,516.46,931.65,900.7037,2333.2312,1432.5275
971,0.003967509,1283.47,506.95,506.95,919.58,898.0575,2329.6062,1431.5487
972,0.003969675,1280.39,497.44,497.44,907.59,895.8462,2324.4225,1428.5763
973,0.003966787,1276.96,487.84,487.84,899.25,886.675,2309.4513,1422.7763
974,0.003963718,1273.18,478.38,478.38,891.09,869.6374,2293.7912,1424.1538
975,0.003957762,1268.88,468.95,468.95,886.09,870.3988,2292.1238,1421.725
976,0.00394639,1265.27,459.57,459.57,881.1,862.8587,2284.5837,1421.725
977,0.003934296,1262.06,450.28,450.28,877.06,851.4037,2278.095,1426.6913
978,0.003919495,1258.67,441.16,441.16,873.06,854.6663,2272.7663,1418.1
979,0.003900542,1254.59,432.19,432.19,866.76,857.3487,2273.7812,1416.4325
980,0.003879242,1250.99,423.19,423.19,860.38,855.935,2269.1775,1413.2425
981,0.003855776,1246.69,414.49,414.49,850.31,849.2288,2262.725,1413.4962
982,0.0038287,1242.69,406,406,840.1,844.6975,2258.7013,1414.0038
983,0.003801264,1239,397.4,397.4,828.98,837.8825,2251.5963,1413.7138
984,0.003771119,1234.79,389.1,389.1,817.78,834.8012,2246.63,1411.8288
985,0.003738267,1230.18,380.9,380.9,809.09,831.9013,2242.7875,1410.8862
986,0.003704693,1225.71,372.81,372.81,800.32,820.555,2240.2138,1419.6588
987,0.003668231,1221.58,364.71,364.71,800.32,820.0837,2231.9125,1411.8288
988,0.003630144,1216.98,356.61,356.61,800.32,807.7587,2230.3175,1422.5588
989,0.003591155,1212.98,348.61,348.61,800.32,807.6137,2224.01,1416.3963
990,0.003551444,1208.38,340.81,340.81,800.32,792.6788,2223.3213,1430.6425
991,0.003511011,1203.99,333.32,333.32,800.32,788.1475,2215.5275,1427.38
992,0.003468773,1198.91,325.82,325.82,800.32,787.5676,2211.2863,1423.7187
993,0.003426895,1193.61,318.62,318.62,800.32,779.8099,2209.4737,1429.6638
994,0.003381227,1189.01,311.62,311.62,800.32,768.6449,2203.0937,1434.4488
995,0.003337184,1184.49,304.62,304.62,800.32,767.195,2201.1725,1433.9775
996,0.00329278,1178.59,297.73,297.73,800.32,763.9325,2197.475,1433.5425
997,0.00324639,1172.99,290.83,290.83,800.32,760.2712,2192.7625,1432.4913
998,0.003201264,1169.12,284.03,284.03,800.32,749.1425,2190.8413,1441.6988
999,0.003155957,1163.39,277.53,277.53,800.32,741.9287,2191.4212,1449.4925
1000,0.003109567,1157.31,271.33,271.33,800.32,741.9287,2191.4212,1449.4925
